x_coordinates,true_y,predicted_y,prediction_uncertainty,predict_time_s,update_tree_time_s
0.21420249145481596;0.20835146733412913,1219.098242990585,1309.4802808189886,252.18289727410232,0.00040925600001173734,0.0006801780000387225
0.5786070620787137;0.22160053305364058,1264.8801137379742,920.6697986453244,342.36502082679334,0.0005036219999965397,0.0006887929999948028
0.13962171397440015;0.3356238837455042,829.6335014988745,939.2814216196844,352.722309932182,0.0005162469999504538,0.0007970310000473546
0.4157817247113931;0.8042844749102944,1344.8325774025889,934.4050392016533,352.74558513648094,0.00044220799998129223,0.0007007319999274841
0.26368607931238386;0.17458878190683125,1324.6123045083036,1026.6895758395615,372.31601788204284,0.000429746999998315,0.0007066749999466992
0.9264969204658793;0.568059159736697,1377.869620613556,868.8623015617627,374.4877500076683,0.0004085509999640635,0.0007807319999528772
0.5323843439019226;0.6807115057504171,940.4184989808105,977.0982729387376,378.65103295287827,0.00048187000004418223,0.0006582869999647301
0.4108182480452066;0.8364388297466604,1059.0422154931082,920.901871875635,377.5746312883242,0.0004911099999844737,0.0007003079999776674
0.1850245066684847;0.2443949485417497,806.5064988871571,923.603097200835,245.5631374437726,0.000451548000000912,0.0007000959999459155
0.5370256392116877;0.7784028920183569,1034.841865484356,1006.1059782139403,263.80481832121257,0.000499517999969612,0.000756384000055732
0.22619535317218276;0.2649891616319163,885.1730259898025,675.6436478884007,264.4220375964482,0.0004746949999798744,0.0006628679999494125
0.6555483152923557;0.1217340871589695,871.4655959943315,757.4515584035604,185.27240754457148,0.0004687610000928544,0.045566192000023875
0.09677673748108917;0.3499694130149391,459.28927332170935,904.4953834027406,303.8397014390044,0.0006374109999569555,0.0008315380000567529
0.07477906827100855;0.3177194141941436,533.2602219276687,890.075314480496,333.14209186487335,0.0004920049999554976,0.0007879800000409887
0.70354742453805;0.5290008844680645,1085.0128951492889,861.4137795647489,283.1472444187656,0.0005143790000374793,0.000759609999931854
0.05707895253243922;0.4958731098103374,795.2054000808187,1074.7071219627921,319.80825722795385,0.0005426699999588891,0.0007692589999805932
0.06377784034501988;0.2293968567910769,1480.984395220671,864.2261706303921,298.2999728567204,0.0004659650001030968,0.0007595150000270223
